Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
3554,Strata 1: High probability,30880,25,3,4,37,0.0024268692496808297,412.0535130318682,0.10810810810810811,3811.4949955447805,1,2914.69399651812
3615,Strata 1: High probability,30880,25,1,29,66,8.09585492227427e-4,1235.2000000008425,0.4393939393939394,2811.1448275881244,2,359.128462476536
4874,Strata 2: Low probability,30880,25,3,29,115,0.0024268692496808297,412.0535130318682,0.25217391304347825,1634.005310298788,3,417.825343273221
6501,Strata 1: High probability,30880,25,2,32,77,0.0016185417525562684,617.8401010790329,0.4155844155844156,1486.6777432214228,4,190.449091820009
10275,Strata 2: Low probability,30880,25,9,39,138,0.007263656409930763,137.67171016415574,0.2826086956521739,487.1460513500896,5,224.400728342322
12060,Strata 2: Low probability,30880,25,1,0,9,8.09585492227427e-4,1235.2000000008425,0,Inf,NA,NA
12182,Strata 1: High probability,30880,25,1,0,2,8.09585492227427e-4,1235.2000000008425,0,Inf,NA,NA
12737,Strata 2: Low probability,30880,25,1,0,5,8.09585492227427e-4,1235.2000000008425,0,Inf,NA,NA
14270,Strata 1: High probability,30880,25,6,32,72,0.00484808384375246,206.26705977634066,0.4444444444444444,464.1008844967665,9,79.7706038517715
14653,Strata 2: Low probability,30880,25,6,97,220,0.00484808384375246,206.26705977634066,0.4409090909090909,467.8221974308757,10,72.4825935357888
16307,Strata 1: High probability,30880,25,4,21,101,0.003234568451959463,309.1602527051829,0.2079207920792079,1486.913596343975,11,139.949625644936
16576,Strata 1: High probability,30880,25,5,88,187,0.004041639827418786,247.42432346789673,0.47058823529411764,525.7766873692806,12,56.7700471934077
16892,Strata 1: High probability,30880,25,2,35,62,0.0016185417525562684,617.8401010790329,0.5645161290322581,1094.4596076257153,13,43.7522853291739
17048,Strata 1: High probability,30880,25,8,69,238,0.00645909166814862,154.82053071506132,0.28991596638655465,534.0186421765883,14,79.2316708595268
17666,Strata 2: Low probability,30880,25,4,36,100,0.003234568451959463,309.1602527051829,0.36,858.7784797366194,15,59.646287636888
20196,Strata 2: Low probability,30880,25,1,10,21,8.09585492227427e-4,1235.2000000008425,0.47619047619047616,2593.9200000017695,16,42.3403392682997
21182,Strata 1: High probability,30880,25,6,67,234,0.00484808384375246,206.26705977634066,0.2863247863247863,720.395402800951,17,66.3780763117324
22896,Strata 2: Low probability,30880,25,1,0,9,8.09585492227427e-4,1235.2000000008425,0,Inf,NA,NA
23279,Strata 2: Low probability,30880,25,1,3,8,8.09585492227427e-4,1235.2000000008425,0.375,3293.8666666689137,19,45.4885018458012
23733,Strata 1: High probability,30880,25,13,66,145,0.010475665118837796,95.45933252503048,0.45517241379310347,209.72126085044573,20,35.6580048759415
26333,Strata 1: High probability,30880,25,2,18,38,0.0016185417525562684,617.8401010790329,0.47368421052631576,1304.3291022779586,21,32.6836757813629
26587,Strata 1: High probability,30880,25,5,60,158,0.004041639827418786,247.42432346789673,0.379746835443038,651.5507184654614,22,38.9760690636209
27812,Strata 2: Low probability,30880,25,7,73,177,0.00565390096832008,176.86903354041692,0.4124293785310734,428.84683474868217,23,34.3805555906408
27989,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
29296,Strata 2: Low probability,30880,25,4,76,208,0.003234568451959463,309.1602527051829,0.36538461538461536,846.1227968773429,25,35.8137587736426
8219,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15378,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
23978,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26786,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
1847,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
24824,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
24225,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
9701,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
18115,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
1384,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17009,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20280,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
28225,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17505,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19499,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22121,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22789,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
29968,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
24500,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
6053,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
12793,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
18713,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26070,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
16029,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
23657,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
27360,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19100,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26603,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
8938,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
11122,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3748,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
7140,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
4914,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20152,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21549,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
27277,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19934,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15914,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21375,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
16320,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
2730,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17920,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
8433,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26301,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17906,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
13334,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15115,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22654,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
11174,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3254,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20825,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22002,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
18167,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22242,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20459,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3036,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5283,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3032,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
25768,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19317,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5697,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15788,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5895,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
27052,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21340,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
13508,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22148,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26884,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
30167,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
16799,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
1370,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3929,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
25358,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
